OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
380,A - New/Used Vehicle Sales,HAM S AUTO LP O/A SUBARU OF HAMILTON,1505 UPPER JAMES ST  HAMILTON ON,2022/11/18 11:20:58+00,21 299817 00 1R,Public Garage
381,Multiple Use Garage,HAMILTON ALIGNMENT & BRAKES LTD.,1575 KING ST E  HAMILTON ON,2022/11/26 00:00:00+00,14 124425 08 1R,Public Garage
382,B2 - Motor Repair,HAMILTON AUTO MALL,151 SWAYZE RD  GLANBROOK ON,2022/07/27 10:51:21+00,16 291177 05 1R,Public Garage
383,B2 - Motor Repair,HAMILTON BRAKE & STEERING,353 MILLEN RD  STONEY CREEK ON,2022/04/19 00:00:00+00,15 275589 06 1R,Public Garage
384,D - Parking Lot,HAMILTON HEALTH SCIENCES VOLUNTEER ASSOCIATION,1200 MAIN ST W  HAMILTON ON L8S 4J9,2022/07/13 00:00:00+00,14 282744 07 1R,Public Garage
385,D - Parking Lot,HAMILTON HEALTH SCIENCES VOLUNTEER ASSOCIATION,711 CONCESSION ST  HAMILTON ON,2022/07/13 00:00:00+00,14 282746 07 1R,Public Garage
386,D - Parking Lot,HAMILTON HEALTH SCIENCES VOLUNTEER ASSOCIATION,88 MAPLEWOOD AVE  HAMILTON ON L8M 1W9,2022/07/13 00:00:00+00,14 282748 07 1R,Public Garage
387,D - Parking Lot,HAMILTON HEALTH SCIENCES VOLUNTEER ASSOCIATION,690 MAIN ST W  HAMILTON ON L8P 1A4,2022/07/13 00:00:00+00,14 282749 07 1R,Public Garage
388,D - Parking Lot,HAMILTON HEALTH SCIENCES VOLUNTEER ASSOCIATION,237 BARTON ST E  HAMILTON ON,2022/07/07 00:00:00+00,14 282750 07 1R,Public Garage
389,D - Parking Lot,HAMILTON HEALTH SCIENCES VOLUNTEER ASSOCIATION,344 FERGUSON AVE N  HAMILTON ON,2022/05/19 00:00:00+00,15 287631 06 1R,Public Garage
390,D - Parking Lot,HAMILTON HEALTH SCIENCES VOLUNTEER ASSOCIATION,186 FERGUSON AVE N  HAMILTON ON,2022/05/19 00:00:00+00,15 287633 06 1R,Public Garage
391,D - Parking Lot,HAMILTON MEDICAL ARTS,149 HUGHSON ST S  HAMILTON ON,2022/07/24 00:00:00+00,15 124623 07 1R,Public Garage
392,Multiple Use Garage,HAMILTON MOTORCYCLE,1230 MAIN ST E  HAMILTON ON,2022/05/01 00:00:00+00,14 176923 07 1R,Public Garage
