OBJECTID,LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
78,14 281636 07 1K,Food Shop,Bake Shop,2273661 ONTARIO INC O/A BITTEN,219 LOCKE ST S  HAMILTON ON L8R 4B6,2022/07/14 00:00:00+00
79,14 284010 07 1K,Food Shop,Basic,2280918 ONTARIO INC. O/A YOUR DOLLAR STORE WITH MORE,50 DUNDURN ST S  HAMILTON ON L8P 4W3,2022/04/19 00:00:00+00
80,14 281860 07 1K,Food Shop,Basic,2290380 ONTARIO INC. O/A BIG BEE CONVENIENCE AND FOOD MART,558 UPPER GAGE AVE  HAMILTON ON L8V 4J6,2022/10/31 00:00:00+00
81,14 284881 07 1K,Food Shop,Basic,2332226 ONTARIO LTD O/A BUSY BEE FOOD MART,29 DELAWANA DR  HAMILTON ON L8E 3N6,2022/08/15 00:00:00+00
82,13 285623 07 1K,Food Shop,Basic,2381879 ONTARIO INC O/A ON THE GO CONVENIENCE,15 LOCKPORT WAY  STONEY CREEK ON,2022/04/17 00:00:00+00
83,15 285786 06 1K,Food Shop,Bake Shop,2390668 ONTARIO INC O/A KARLIK PASTRY,762 BARTON ST E  HAMILTON ON,2022/04/10 00:00:00+00
84,16 291448 05 1K,Food Shop,Basic,2390668 ONTARIO INC O/A KARLIK PASTRY,35 YORK BLVD  HAMILTON ON,2022/10/12 00:00:00+00
85,14 286753 07 1K,Food Shop,Basic,2429258 ONTARIO INC. O/A SUDS & DUDS NEBO VARIETY,1205 RYMAL RD E  HAMILTON ON L8W 3M9,2022/10/27 00:00:00+00
86,14 287131 06 1K,Food Shop,Basic,2444582 ONTARIO INC. O/A GALAXY SMOKE SHOP,931 QUEENSTON RD  STONEY CREEK ON L8G 1B8,2022/04/13 00:00:00+00
87,16 290652 05 1K,Food Shop,Basic,2454915 ONTARIO INC O/A BIG BEAR FOOD MART,82 WELLINGTON ST N  HAMILTON ON L8R 2N7,2022/04/13 00:00:00+00
88,19 296326 02 1K,Food Shop,Basic,2467856 ONTARIO LTD O/A M. MART,477 DUNDAS ST E  FLAMBOROUGH ON,2022/07/14 00:00:00+00
89,15 288159 05 1K,Food Shop,Butcher,2472333 ONTARIO INC O/A PAK KAI,143 JAMES ST N  HAMILTON ON L8R 2K8,2022/10/05 00:00:00+00
90,15 290449 05 1K,Food Shop,Basic,2494357 ONTARIO INC O/A ANYTIME BARTON,653 BARTON ST E  HAMILTON ON L8L 3A3,2022/01/26 00:00:00+00
91,16 290549 05 1K,Food Shop,Basic,2497399 ONTARIO INC O/A MINI FOOD MART,220 LOCKE ST S  HAMILTON ON L8R 4B7,2022/03/10 00:00:00+00
92,16 290797 05 1K,Food Shop,Butcher,2508152 ONTARIO LIMITED O/A PAVAO MEAT & DELI,640 QUEENSTON RD  HAMILTON ON L8K 1K2,2022/04/06 00:00:00+00
93,19 296250 02 1K,Food Shop,Basic,2508436 ONTARIO LIMITED O/A DISCOUNT MAX,170 KING ST E  HAMILTON ON,2022/06/24 00:00:00+00
94,16 290995 05 1K,Food Shop,Multiple Food Shop,2512588 ONTARIO LTD O/A QSTOP CONVENIENCE,1 WILSON ST  HAMILTON ON L8R 1C4,2022/06/17 00:00:00+00
95,19 297232 01 1K,Food Shop,Caterer,2526438 ONTARIO INC O/A THE LUNCH LADY,1480 SANDHILL DR  ANCASTER ON,2022/02/10 00:00:00+00
96,16 291441 05 1K,Food Shop,Bake Shop,2530400 ONTARIO INC. O/A LA BAKERI,935 FENNELL AVE E  HAMILTON ON,2022/09/12 00:00:00+00
97,16 291644 05 1K,Food Shop,Basic,2533528 ONTARIO INC. O/A HASTY MARKET,387 BARTON ST E  HAMILTON ON L8L 2Y2,2022/12/20 00:00:00+00
