OBJECTID,Fax_Number,City,Province,Geo_X,Geo_Y,Business_Id,Business_Name,Site_Postal_Code,Created_Date,Updated_Date,NAICSCode,NAICSCode_Desc,Telephone_Number,Web_Address,Mailing_Address1,Mailing_Address2,Mailing_City,Mailing_Province,Mailing_Country,Mailing_Postal_Code,Unit_Number,Business_Description,Street_Number,Street_Name,Street_Type,Street_Direction,Municipality,geometry,lon,lat
36628,9054341605,Whitby,Ontario,669401.66,4858725.44,10970,Woodbridge Foam Corporation,L1N7V4,2019-05-10,2019-08-22,326150.0,Urethane and other foam product (except polystyrene) manufacturing,9054348473,www.woodbridgegroup.com,,,,,,L1N7V4,,Foam manufacturer.,1999,Forbes,Street,,Whitby,POINT (-78.8919711194503 43.86217784551568),-78.8919711194503,43.86217784551568
36629,,Whitby,Ontario,669309.13,4858672.84,10971,Lear Corp,L1N7V4,2019-05-10,,336360.0,Motor vehicle seating and interior trim manufacturing,9054360400,,,,,,,,,Automotive seating and electrical manufacturer.,2001,Forbes,Street,,Whitby,POINT (-78.89313846554262 43.86172579950524),-78.89313846554262,43.86172579950524
36630,,Whitby,Ontario,665307.7,4860352.06,143333,Dr. Lisa Smith,L1N4P7,2019-05-13,2019-08-22,621330.0,Offices of mental health practitioners (except physicians),9056658150,http://www.newrootstherapy.com/,,,,,,L1N4P7,203,Counselling and mediation services.,213,Byron,Street,South,Whitby,POINT (-78.94237971806152 43.877742235990894),-78.94237971806152,43.877742235990894
36631,9054261732,Ajax,Ontario,659010.72,4854920.84,1012,Superior Bath Reno Inc.,L1S3Y1,2019-05-13,2019-08-22,238390.0,Other building finishing contractors,9054261714,www.superiorbath.ca,,,,,,L1S3Y1,4,Bath renovations and installations.,31,Barr,Road,,Ajax,POINT (-79.02232894595137 43.830254300369894),-79.02232894595137,43.830254300369894
36632,9052409229,Whitby,Ontario,667667.05,4861538.89,91786,Travel Shoppe Canada,L1N2K8,2019-05-13,2019-08-22,561510.0,Travel agencies,9052408222,travelshoppecanada.ca,,,,,,L1N2M8,1A,Travel agents.,15,Thickson,Road,South,Whitby,POINT (-78.91265850532656 43.88788855904986),-78.91265850532656,43.88788855904986
36633,9054206965,Pickering,Ontario,654215.52,4856323.91,7878,Lifemark Physiotherapy - Kingston & Brock,L1V1C3,2019-05-13,2019-08-22,621340.0,"Offices of physical, occupational, and speech therapists and audiologists",9054206544,www.lifemark.ca,,,,,,L1V1C3,204,Physiotherapy,1550,Kingston,Road,,Pickering,POINT (-79.08153042088236 43.843896487982754),-79.08153042088236,43.843896487982754
36634,9056683827,Whitby,Ontario,665143.02,4860546.43,10798,Lifemark Physiotherapy - Brock & Dundas,L1N8M7,2019-05-13,2019-08-22,621340.0,"Offices of physical, occupational, and speech therapists and audiologists",9056680414,www.lifemark.ca,,,,,,L1N8M7,304,"Physiotherapy, massage, rehabilitation, accupuncture.",220,Dundas,Street,West,Whitby,POINT (-78.94436806895254 43.879528040319876),-78.94436806895254,43.879528040319876
36635,,Ajax,Ontario,658875.97,4854933.14,101409,Autograph Door Systems,L1S3P8,2019-05-13,2019-08-22,417990.0,"All other machinery, equipment and supplies merchant wholesalers",9056866195,www.autographdoors.com,,,,,,L1S3P8,29,Garage door systems.,785,Westney,Road,South,Ajax,POINT (-79.02400024254243 43.83039396594595),-79.02400024254243,43.83039396594595
36636,,Oshawa,Ontario,671018.64,4861007.28,4837,Ecole Elementaire Catholique Corpus - Christi,L1J6L7,2019-05-13,,611110.0,Elementary and secondary schools,9057280491,cc.csdccs.edu.on.ca,,,,,,,,French catholic school,362,Hillside,Avenue,,Oshawa,POINT (-78.87113207147617 43.882335824739094),-78.87113207147617,43.882335824739094
36637,9056683888,Whitby,Ontario,664842.26,4861905.29,10262,Brock/Starr Dental Care,L1N4J5,2019-05-13,2019-08-22,621210.0,Offices of dentists,9056683884,www.brockstarrdentalcare.com,,,,,,L1N4J5,,Dental office.,858,Brock,Street,North,Whitby,POINT (-78.94768950954553 43.89182220885942),-78.94768950954553,43.89182220885942
36638,,Whitby,Ontario,666249.33,4863134.46,11250,Dr. Paul Semotiuk,L1N8H3,2019-05-13,2019-08-22,621210.0,Offices of dentists,9054300417,,,,,,,L1N8H3,2,Family dentist,1200,Rossland,Road,East,Whitby,POINT (-78.92979921276654 43.902566128508646),-78.92979921276654,43.902566128508646
36639,,Newcastle,Ontario,693421.7714,4863253.4236,552669,Da Vinci Studios,L1B0B3,2019-05-13,2019-08-22,541920.0,Photographic services,4168954302,,,,,,,,,"Photography, Real Estate photography, Videography, Film, Sound and Media.
",500,Lakebreeze,Drive,,Clarington,POINT (-78.59166897128932 43.89700790293357),-78.59166897128932,43.89700790293357
36640,9059854625,Port Perry,Ontario,662047.1,4885016.09,94797,Brian's Towing,L9L1B2,2019-05-13,2019-08-22,488410.0,Motor vehicle towing,9059852243,www.brianstowing.org,,,,,,L9L1B2,2,Providing emergency roadside assistance and specialty towing in Scugog and the surrounding areas.,100,North Port,Road,,Scugog,POINT (-78.97540710461547 44.100390648026774),-78.97540710461547,44.100390648026774
36641,,Port Perry,Ontario,663440.1231,4885699.8179,552666,Maya Healing Arts,L9L2E4,2019-05-13,2019-08-22,611620.0,Athletic instruction,2893540103,www.mayahealingarts.com,,,,,,,,"Yoga classes, workshops, and teacher training certification. Mindfulness meditation. Reiki workshops and Reiki certification.",32,Chimney Hill,Way,,Scugog,POINT (-78.9578019154552 44.10623289108971),-78.9578019154552,44.10623289108971
36642,9052632934,Hampton,Ontario,675293.9795,4871109.8389,552544,Knox's Pumpkin Farm,L0B1J0,2019-05-13,2019-08-22,111219.0,Other vegetable (except potato) and melon farming,9052632930,www.knoxpumpkinfarm.com,,,,,,,,"Nestled into the countryside just north of Courtice, this historic farm offers lots of fun for the whole family. Young and old alike delight in the offering of fall activities, which include a corn maze, farm animals, a straw jump, a story reading room,",6325,Enfield,Road,,Clarington,POINT (-78.81462275933022 43.97222575181144),-78.81462275933022,43.97222575181144
