licence number,establishment name,location address line 1,location address line 2,location address  city,location postal code,licence type,licence subtype,capacity
305846,The Brickworks Public House,20 - 4308 Main Street,,WHISTLER,V0N1B4,Liquor Primary,,116
158995,The Bridge Bistro,301  Hwy 3,,FERNIE,V0B1M0,Food Primary,,190
305687,The Brighton,2471 Hastings Street East,,VANCOUVER,V5K1Y8,Food Primary,,77
305942,The Bubble Tea Shop Restaurant ,1680 Robson St,,VANCOUVER,V6G1C8,Food Primary,,28
007048,The Buck & Ear,12111 3RD AVE,,RICHMOND,V7E3K1,Liquor Primary,,277
306097,The Buffet,20393 Fraser Highway,,LANGLEY,V3A7N2,Food Primary,,176
307116,The Burner Grille,4260 Oxbow Frontage Rd.,,MALAKWA,V0E2J0,Food Primary,,158
099935,The Burrard Public House,2414 St. John's Street,,PORT MOODY,V3H2B1,Liquor Primary,,242
301850,The Burrito Bros. Mexican Food ,2209 1st Avenue W,,VANCOUVER,V6K1E9,Food Primary,,34
305346,The Butler Did It Catering,620 Clark Dr.,,VANCOUVER,V5L3H8,Catering,,
133394,The Cabin,12302 BEECHER ST,,SURREY,V4A3A6,Food Primary,,76
038480,The Cabin,200 E FIRST ST,,REVELSTOKE,V0E2S0,Liquor Primary,,93
306621,The Cabin Restaurant and General Store ,56345 Beaumont Rd,,VANDERHOOF,V0J3A3,Food Primary,,74
307032,The Cafe at John Henry's,4907 Pool Lane,,GARDEN BAY,V0N1S0,Food Primary,,60
307407,The Canadian Brewhouse & Grill,1305-4755 McClelland Rd,,RICHMOND,V6X0M5,Food Primary,,284
307320,The Canadian Brewhouse & Grill,3036 Recplace Dr,,PRINCE GEORGE,V2N0G2,Food Primary,,298
307348,The Canadian Brewhouse & Grill,9123 100 St,,FORT ST. JOHN,V1J3X3,Food Primary,,298
307014,The Canadian Brewhouse and Grill,E125-3122 Mt Lehman Rd,,ABBOTSFORD,V2T0C5,Food Primary,,213
300174,The Cannery Brewing Company,198 Ellis Street,,PENTICTON,V2A4L5,Manufacturer,Brewery,0
304606,The Cannibal Cafe,1818 Commercial Drive,,VANCOUVER,V5N4A5,Food Primary,,50
300800,The Canoe,S - 2103 33844 KING ROAD,Student Union Building,ABBOTSFORD,V2S7M8,Food Primary,,100
305442,The Capital,1178 Davie St,,VANCOUVER,V6E1N2,Food Primary,,130
